Wavelength (nm),PpIX634,PpIX620,Lipofuscin,Flavin,NADH,FAD,Collagen,Elastin,Melanin
418,0,0,0,0,0,0,0.161821583,0.052676076,0
419,0,0,0,0,0,0,0.160102204,0.054233317,0
420,0,0,0,0,0,0,0.158382824,0.055790557,0
421,0,0,0,0,0,0,0.156663445,0.057347798,0
422,0,0,0,0,0,0,0.154944066,0.058905039,0
423,0,0,0,0,0,0,0.153224687,0.06046228,0
424,0,0,0,0,0,0,0.151505308,0.06201952,0
425,0,0,0,0,0,0,0.149785929,0.063576761,0
426,0,0,0,0,0,0,0.148066549,0.065134002,0
427,0,0,0,0,0,0,0.14634717,0.066691243,0
428,0,0,0,0,0,0,0.144627791,0.068248483,0
429,0,0,0,0,0,0,0.142908412,0.069805724,0
430,0,0,0,0,0.004463686,0,0.141189033,0.071362965,0
431,0,0,0,0,0.013995516,0,0.139469653,0.072920206,0
432,0,0,0,0,0.021078647,0,0.137750274,0.074477446,0
433,0,0,0,0,0.031283049,0,0.136030895,0.076034687,0
434,0,0,0,0,0.041670116,0,0.134311516,0.077591928,0
435,0,0,0,0,0.052158303,0,0.132592137,0.079149169,0
436,0,0,0,0,0.062666066,0,0.130872757,0.080706409,0
437,0,0,0,0,0.073111859,0,0.129153378,0.08226365,0
438,0,0,0,0,0.083414137,0,0.127433999,0.083820891,0
439,0,0,0,0,0.093491357,0,0.12571462,0.085378132,0
440,0,0,0,0,0.103261972,0,0.123995241,0.086935372,0
441,0,0,0,6.67E-05,0.112644438,0,0.122275861,0.088492613,0.001344854
442,0,0,0,0.000118734,0.121557211,0,0.120556482,0.090049854,0.002902267
443,0,0,0,8.62E-05,0.129918746,0,0.118837103,0.091607095,0.00445968
444,0,0,0,0,0.137647497,0,0.117117724,0.093164336,0.006017093
445,0,0,0,0,0.144661921,0,0.115398345,0.094721576,0.007574506
446,0,0,0,0,0.15017754,0,0.113678965,0.096278817,0.009131919
447,0,0,0,0,0.15468346,0,0.111959586,0.097836058,0.010689332
448,0,0,0,0,0.158160429,0,0.110426003,0.099437603,0.012206922
449,0,0,0,0,0.160608633,0,0.108755522,0.101010941,0.01375236
450,0,0,0,0,0.16204761,0,0.106967693,0.102554078,0.015323698
451,0,0,0,0,0.162516163,0,0.105082069,0.104065021,0.016918984
452,0,0,0,0.000495242,0.16207228,0,0.103118203,0.105541775,0.018536267
453,0,4.79E-05,0,0.001940975,0.160793047,0,0.101095647,0.106982348,0.020173597
454,0,3.65E-05,0,0.003772273,0.158774566,0,0.099033952,0.108384746,0.021829024
455,0,3.24E-05,0,0.005983997,0.156131881,0,0.09695267,0.109746976,0.023500597
456,0,2.87E-05,0,0.008578845,0.152998893,0,0.094871355,0.111067045,0.025186366
457,0,2.12E-05,0,0.011559516,0.149528288,0,0.092809557,0.112342958,0.026884379
458,0,1.17E-05,0,0.014913385,0.145891458,0,0.090787219,0.113572914,0.028592086
459,0,2.92E-06,0,0.018598812,0.142278429,0,0.088826373,0.114755865,0.030307666
460,0,0,0,0.022530227,0.138897789,0,0.086944992,0.115890541,0.032029206
461,0,0,0,0.026611923,0.135976613,0,0.085149981,0.116974268,0.033754892
462,0,0,0,0.030630871,0.133517352,0,0.083434341,0.118002131,0.035483026
463,0,0,0,0.034488087,0.13110257,0,0.081778526,0.118966452,0.037212033
464,0,1.67E-06,0,0.038118037,0.12873146,0,0.080155584,0.119856217,0.038940482
465,0,1.90E-06,0,0.041504223,0.126403235,0,0.078535961,0.120657323,0.040667101
466,0,8.17E-07,0,0.04468148,0.124117117,0.000139226,0.076896178,0.121354035,0.042390763
467,0,0,0,0.047707004,0.121872347,0.000479612,0.075230432,0.121930586,0.044110455
468,4.90E-05,0,0,0.050615482,0.119668174,0.000997569,0.073556318,0.122372526,0.045825256
469,3.73E-05,0,0,0.053396831,0.117503867,0.001729449,0.071914089,0.122666448,0.047534307
470,3.31E-05,1.29E-07,0,0.05601171,0.115378702,0.002707255,0.070361392,0.12280152,0.049236776
471,2.94E-05,5.68E-07,0,0.05841517,0.113291973,0.003956712,0.068948595,0.122772054,0.050931834
472,2.17E-05,3.74E-07,0,0.060578547,0.111242985,0.005495254,0.067703525,0.122579219,0.052618614
473,1.20E-05,0,0,0.062492676,0.109231055,0.007327286,0.066628425,0.122233115,0.054296172
474,2.98E-06,0,0,0.064107024,0.107255512,0.009442472,0.065701841,0.121753156,0.055963417
475,0,0,0,0.065505285,0.105315698,0.01181743,0.064887351,0.121163043,0.057619116
476,0,1.78E-07,0,0.06672661,0.103410968,0.014424704,0.064153773,0.120486029,0.059261959
477,0,1.46E-07,0,0.067812601,0.101540686,0.017231785,0.063481371,0.119740161,0.060890585
478,0,0,0,0.068819687,0.099704231,0.020204897,0.06286175,0.11893238,0.062503617
479,1.71E-06,0,0,0.069809181,0.097900989,0.023315607,0.062296514,0.118055242,0.064099675
480,1.95E-06,1.01E-07,0,0.070816503,0.096130361,0.026540426,0.061792721,0.117093135,0.065677407
481,8.36E-07,0,0,0.071869764,0.094391756,0.029861364,0.061357585,0.116028702,0.067235506
482,0,4.18E-09,0,0.072975221,0.092684595,0.033265561,0.060995532,0.114848676,0.068772736
483,0,0,0,0.074124599,0.09100831,0.036741662,0.060704814,0.113550036,0.070287961
484,0,0,0,0.075317018,0.089362342,0.040278757,0.060475718,0.112142596,0.071780211
485,1.32E-07,0,0,0.076569374,0.087746142,0.043865652,0.0602912,0.110644813,0.073248664
486,5.81E-07,0,0,0.077913095,0.086159174,0.047488658,0.060129915,0.109080565,0.074692582
487,3.83E-07,0,0,0.079371991,0.084600907,0.051132037,0.059970688,0.107475347,0.076111269
488,0,0,0,0.080949499,0.083070822,0.05477789,0.059791523,0.105851795,0.077504033
489,0,0,0,0.082633032,0.081568411,0.058406161,0.059572684,0.104229413,0.078870152
490,0,0,0,0.084425214,0.080093172,0.061995435,0.059302136,0.102625924,0.080208833
491,1.82E-07,0,0,0.086351497,0.078644614,0.065523235,0.058977961,0.101055452,0.081519188
492,1.50E-07,0,0,0.088451961,0.077222255,0.068965983,0.05860771,0.099527388,0.082800195
493,0,0,0,0.090777392,0.07582562,0.072299734,0.058204688,0.09804618,0.084050643
494,0,0,0,0.093348181,0.074454245,0.07551,0.057782887,0.096612555,0.085268962
495,1.04E-07,0,0,0.096162131,0.073107672,0.078595888,0.057355528,0.095223005,0.086453294
496,0,0,0,0.099214834,0.071785453,0.081568475,0.056930652,0.093867483,0.087601635
497,4.28E-09,0,0,0.102513445,0.070487148,0.084449464,0.056507722,0.092528396,0.088711976
498,0,0,0,0.106072271,0.069212324,0.087266556,0.056076993,0.09118056,0.089782414
499,0,0,0,0.109878583,0.067960556,0.090048104,0.055621632,0.089784755,0.090811267
500,0,0,0,0.113870556,0.066731428,0.092816877,0.055121192,0.088290808,0.091797167
501,0,0,0,0.117960445,0.065524529,0.095587872,0.054557393,0.086656914,0.092739148
502,0,0,0,0.122047565,0.064339458,0.098366618,0.053919645,0.084874478,0.093636716
503,0,0,0,0.126028857,0.063175821,0.101148483,0.053208537,0.082969815,0.094489935
504,0,0,0,0.129806419,0.062033229,0.10392686,0.052435995,0.080993418,0.095299595
505,0,0,0,0.133289579,0.060911301,0.106696368,0.051622024,0.079007016,0.096067157
506,0,0,0,0.136404425,0.059809665,0.109450716,0.050788988,0.077067067,0.096794594
507,0,0,0,0.139105036,0.058727953,0.112180318,0.049956478,0.075209515,0.097484242
508,0,0,0,0.141376205,0.057665804,0.114865068,0.049139164,0.073443149,0.098138645
509,0,0,0,0.14322451,0.056622866,0.117473765,0.048345153,0.071743959,0.098760405
510,0,0,0,0.14466201,0.05559879,0.119970152,0.047576249,0.070069124,0.099352029
511,0,0,0,0.145687263,0.054593235,0.122318345,0.046830232,0.068383028,0.099915771
512,0,0,0,0.146293922,0.053605867,0.124491282,0.046104767,0.066676615,0.100453453
513,0,0,0,0.146494367,0.052636356,0.126484333,0.045398233,0.06496188,0.100966243
514,0,0,0,0.14630702,0.05168438,0.128313326,0.044708882,0.063261071,0.101454589
515,0,0,0,0.145756364,0.050749621,0.129995226,0.044035384,0.061599655,0.101918407
516,0,0,0,0.144873911,0.049831767,0.131536715,0.043377333,0.059998172,0.102357226
517,0,0,0,0.143703441,0.048930515,0.132933457,0.042735415,0.058467428,0.102770256
518,0,0,0,0.142301878,0.048045562,0.134169329,0.042111256,0.0570118,0.103156472
519,0,0,0,0.140733889,0.047176614,0.135222357,0.04150694,0.055630255,0.103514708
520,0,0,0,0.139079712,0.046323382,0.136074965,0.040924382,0.054317825,0.103843753
521,0,0,0,0.137393573,0.045485582,0.136716024,0.040365314,0.053067819,0.104142535
522,0,0,0,0.135693864,0.044662934,0.137141708,0.039831789,0.051874571,0.104410329
523,0,0,0,0.133993386,0.043855164,0.137356177,0.039326622,0.050734434,0.104646788
524,0,0,0,0.132300915,0.043062003,0.137367142,0.038853547,0.049644615,0.104851924
525,0,0,0,0.130620658,0.042283188,0.137178341,0.038417286,0.048603028,0.105025899
526,0,0,0,0.128953735,0.041518458,0.136788087,0.038023397,0.047608185,0.105168839
527,0,0,0,0.127299638,0.040767559,0.136189742,0.037675886,0.046659068,0.105280738
528,0,0,0,0.12565539,0.04003024,0.135374523,0.037375679,0.045754779,0.105361369
529,0,0,0,0.124011003,0.039306257,0.134338117,0.037120174,0.04489409,0.105410145
530,0,0,0,0.122344606,0.038595368,0.133086211,0.036903791,0.04407544,0.105425853
531,0,0,0,0.120624498,0.037897335,0.131636607,0.036719582,0.043296911,0.105406675
532,0,0,0,0.118821137,0.037211928,0.130021738,0.036561054,0.042556196,0.105350299
533,0,7.74E-09,0,0.11691226,0.036538916,0.128286982,0.036421882,0.041850597,0.105254056
534,0,0,0,0.11488255,0.035878076,0.126474736,0.03629574,0.041177087,0.105115142
535,0,1.12E-07,0,0.112725811,0.035229189,0.124615399,0.036176217,0.040532397,0.104930776
536,0,0,0,0.110442732,0.034592037,0.122731484,0.036056581,0.039913125,0.104698341
537,0,0,0,0.10804194,0.033966408,0.120843036,0.035930881,0.03931584,0.104415512
538,0,0,0,0.105540812,0.033352095,0.118968027,0.035795025,0.038737238,0.10408034
539,0,3.16E-07,0,0.102962715,0.032748892,0.117121068,0.035647188,0.038174241,0.103691378
540,0,2.65E-07,0,0.100330768,0.032156599,0.115311407,0.035487529,0.037624113,0.103247836
541,0,0,0,0.097635605,0.031575017,0.113540431,0.035317238,0.037084519,0.102749727
542,0,0,0,0.094862501,0.031003954,0.111801281,0.035137278,0.036553549,0.102197879
543,0,0,0,0.092011458,0.03044322,0.110078983,0.034948463,0.036029682,0.101593782
544,0,7.12E-07,0.000768326,0.089082474,0.029892626,0.108351534,0.034751609,0.035511705,0.100939525
545,0,1.68E-06,0.003506534,0.086075551,0.029351991,0.106599359,0.034547531,0.034998592,0.100237722
546,0,4.23E-07,0.006204152,0.082990687,0.028821134,0.104810456,0.034337045,0.034489319,0.099491421
547,0,0,0.008861179,0.079827883,0.028299877,0.102981766,0.034120965,0.033982756,0.098704021
548,7.92E-09,0,0.011477616,0.076587139,0.027788048,0.101119243,0.033900112,0.033477751,0.097879302
549,0,0,0.014053463,0.073268455,0.027285476,0.099233362,0.033675315,0.032973094,0.097021197
550,1.14E-07,1.16E-06,0.016588719,0.069871831,0.026791993,0.097337126,0.033447368,0.032467543,0.096133535
551,0,3.43E-06,0.019083385,0.066397267,0.026307436,0.095443866,0.033216996,0.031959952,0.095220087
552,0,2.74E-06,0.021537461,0.062844763,0.025831642,0.093565531,0.032984838,0.031449355,0.094284494
553,0,1.63E-06,0.023950946,0.059214318,0.025364453,0.09171291,0.032751468,0.030935034,0.093330148
554,3.23E-07,0,0.026323841,0.055505934,0.024905714,0.089894701,0.032517424,0.030416539,0.09236009
555,2.71E-07,0,0.028656146,0.05171961,0.024455271,0.088116739,0.032283259,0.029893694,0.091376915
556,0,0,0.03094786,0.047855345,0.024012976,0.086381427,0.032049528,0.029366558,0.090382691
557,0,0,0.033198984,0.043913141,0.023578679,0.084687031,0.031816787,0.028835358,0.089378892
558,0,1.23E-08,0.035409518,0.039636124,0.023152237,0.083027012,0.031585589,0.028300397,0.088366228
559,7.28E-07,8.18E-06,0.037579462,0.035151219,0.022733508,0.081389622,0.031356492,0.027761929,0.087344629
560,1.72E-06,2.02E-05,0.039708815,0.030590523,0.022322352,0.079759612,0.031130058,0.027220161,0.086313423
561,4.32E-07,2.64E-05,0.041797577,0.026072607,0.021918632,0.078122032,0.030906913,0.026675298,0.085271509
562,0,2.29E-05,0.04384575,0.021702263,0.021522213,0.076463911,0.030687576,0.026127545,0.084217521
563,0,3.04E-05,0.045853332,0.017313218,0.021132965,0.074775943,0.030472263,0.025577081,0.083149998
564,0,4.81E-05,0.047820324,0.013193146,0.020750756,0.073054365,0.030260798,0.025024068,0.08206756
565,1.19E-06,8.06E-05,0.049746725,0.009427981,0.020375459,0.071301872,0.030052645,0.024468706,0.08096908
566,3.51E-06,0.000123011,0.051632536,0.006103661,0.020006951,0.069523908,0.029847066,0.023911276,0.079853864
567,2.80E-06,0.00018579,0.053477757,0.003306121,0.019645107,0.067726892,0.029643341,0.02335217,0.078721831
568,1.67E-06,0.000264994,0.055282387,0.001121297,0.019289807,0.065917578,0.029440784,0.022791904,0.07757366
569,0,0.000374225,0.057046427,0,0.018940933,0.06410227,0.02923871,0.022231124,0.076410614
570,0,0.000510406,0.058769877,0,0.018598369,0.06228588,0.029036435,0.021670583,0.075234445
571,0,0.000656327,0.060452736,0,0.018262001,0.060470902,0.028833274,0.02111112,0.074047343
572,0,0.000785185,0.062095005,0.000227884,0.017931716,0.058658267,0.028628531,0.020553609,0.07285188
573,1.26E-08,0.000937974,0.063696684,0,0.017607405,0.056849879,0.028421459,0.019998911,0.071650938
574,8.36E-06,0.001133759,0.065257773,0,0.017288959,0.055048692,0.028211414,0.019447904,0.070447616
575,2.07E-05,0.001335269,0.066778271,0,0.016976272,0.053258354,0.027998037,0.018901501,0.06924514
576,2.70E-05,0.001558549,0.068258178,0,0.016669241,0.051482938,0.027781324,0.018360549,0.06804674
577,2.34E-05,0.001794173,0.069697496,0,0.016367763,0.049726769,0.027561594,0.017825749,0.066855712
578,3.11E-05,0.002071193,0.071096223,0,0.016071737,0.047994299,0.027339342,0.017297597,0.065675596
